condition_name,category,investigation
Pancreatitis,Gastrointestinal,"ERCP, after recovery"
Pancreatitis,Gastrointestinal,Magnetic Resonance Cholangiopancreatography (MRCP).
Panic Disorder,Neurological/Mental,As indicated to exclude medical aetiologies
Parkinsonism,Neurological/Mental,Diagnosis is essentially clinical
Parkinsonism,Neurological/Mental,Neuro-imaging: CT scan/MRI for exclusion of possible differentials
Pediculosis (Lice),Dermatological,Examine louse or the nits on epilated hair strands (especially from behind the ears) under the microscope
Pediculosis (Lice),Dermatological,Examine the seams of clothing for nits and lice
Pelvic Inflammatory Diseases,Maternal/Reproductive,FBC
Pelvic Inflammatory Diseases,Maternal/Reproductive,Haemoglobin genotype
Pelvic Inflammatory Diseases,Maternal/Reproductive,Blood Group
Pelvic Inflammatory Diseases,Maternal/Reproductive,"Electrolyte, Urea and Creatinine"
Pelvic Inflammatory Diseases,Maternal/Reproductive,"Midstream urine microscopy, culture and sensitivity"
Pelvic Inflammatory Diseases,Maternal/Reproductive,Endocervical swab
Pelvic Inflammatory Diseases,Maternal/Reproductive,"High vaginal swab culture: to exclude trichomoniasis, bacterial vaginosis"
Pelvic Inflammatory Diseases,Maternal/Reproductive,Urethral swab
Pelvic Inflammatory Diseases,Maternal/Reproductive,"Ultrasound scan: to exclude cyesis, ectopic gestation, adnexal mass (e.g. ovarian mass)"
Peptic Ulcer Disease (PUD),Gastrointestinal,Occult blood test. Stool microscopy
Peptic Ulcer Disease (PUD),Gastrointestinal,Endoscopy
Peptic Ulcer Disease (PUD),Gastrointestinal,Barium meal
Peptic Ulcer Disease (PUD),Gastrointestinal,Direct/indirect detection of H. pylori
Pericarditis,Cardiovascular,Electrocardiography
Pericarditis,Cardiovascular,FBC and differentials
Pericarditis,Cardiovascular,Chest radiograph
Pericarditis,Cardiovascular,Echocardiography
Pericoronitis,Dental/Oral Health,Radiographs
Pericoronitis,Dental/Oral Health,To establish the position of the affected tooth and its relationship to the second molar
Pericoronitis,Dental/Oral Health,May show impacted third molar
Peripheral Vascular Disease,Cardiovascular,Ankle Brachial Index(ABI)
Peripheral Vascular Disease,Cardiovascular,A pulse volume record
Peripheral Vascular Disease,Cardiovascular,A vascular ultrasound
Peritonsillar Abscess (Quinsy),"ENT (Ear, Nose & Throat)",Throat swab
Peritonsillar Abscess (Quinsy),"ENT (Ear, Nose & Throat)",Full Blood Count with differentials
Pharyngitis (Sore Throat),"ENT (Ear, Nose & Throat)","Throat swab: microscopy, culture and sensitivity"
Pharyngitis (Sore Throat),"ENT (Ear, Nose & Throat)",X-ray of paranasal sinuses
Pharyngitis (Sore Throat),"ENT (Ear, Nose & Throat)",CT Scan of Paranasal sinuses
Pityriasis Rosea,Dermatological,Non-specific
Pityriasis Rosea,Dermatological,VDRL
Pityriasis Rosea,Dermatological,If secondary syphilis is suspected (e.g. lesions on palms and soles with/without lymphadenopathy)
Pityriasis Versicolor (Tinea Versicolor),Dermatological,Skin scraping for KOH microscopy
Pneumonia,Respiratory,FBC +ESR+ CRP
Pneumonia,Respiratory,"Serum Electrolyte, Urea and Creatinine"
Pneumonia,Respiratory,LFT
Pneumonia,Respiratory,Blood Culture
Pneumonia,Respiratory,Serology
Pneumonia,Respiratory,Cold agglutinins
Pneumonia,Respiratory,Arterial blood gases/ SPO2
Pneumonia,Respiratory,"Sputum gram stain, M/C/S"
Pneumonia,Respiratory,Urine pneumococcal and legionella antigen
Pneumonia,Respiratory,Chest X-ray
Pneumonia,Respiratory,Pleural fluid M/C/S
Poliomyelitis,Infectious/Tropical,"Viral isolation from stool, pharynx or cerebrospinal fluid"
Poliomyelitis,Infectious/Tropical,Fingerprinting genomic sequencing to determine if it is the wild type vaccine type
Poliomyelitis,Infectious/Tropical,Serology: a fourfold rise in antibody may be demonstrated
Poliomyelitis,Infectious/Tropical,Cerebrospinal fluid examination:
Poliomyelitis,Infectious/Tropical,"Raised white cell count, 10 - 200 cells/mm3 (primarily lymphocytes)"
Poliomyelitis,Infectious/Tropical,Mild increase in protein: 40 - 50 mg/mL
Poliomyelitis,Infectious/Tropical,"Viral isolation from stool, pharynx or cerebrospinal fluid"
Poliomyelitis,Infectious/Tropical,Fingerprinting genomic sequencing to determine if it is the wild type vaccine type
Poliomyelitis,Infectious/Tropical,Serology: a fourfold rise in antibody may be demonstrated
Poliomyelitis,Infectious/Tropical,"Cerebrospinal fluid examination: Raised white cell count, 10 - 200 cells/mm3 (primarily lymphocytes), Mild increase in protein: 40 - 50 mg/mL"
Posterior Urethral Valves,Renal/Urological,Urinalysis
Posterior Urethral Valves,Renal/Urological,"Urine microscopy, culture and sensitivity"
Posterior Urethral Valves,Renal/Urological,FBC
Posterior Urethral Valves,Renal/Urological,"Serum Urea, Electrolytes and Creatinine"
Posterior Urethral Valves,Renal/Urological,Abdominal ultrasound
Posterior Urethral Valves,Renal/Urological,Micturating cysto-urethrogram
Posterior Urethral Valves,Renal/Urological,Urethrocystoscopy
Priapism,Renal/Urological,FBC
Priapism,Renal/Urological,Haemoglobin electrophoresis
Priapism,Renal/Urological,Colour Doppler/duplex ultrasound
Prostatitis,Renal/Urological,FBC and ESR
Prostatitis,Renal/Urological,Urinalysis
Prostatitis,Renal/Urological,"Urine microscopy, culture and sensitivity"
Prostatitis,Renal/Urological,"Prostatic massage: microscopy, culture and sensitivity (chronic prostatitis only)"
Prostatitis,Renal/Urological,Trans-rectal ultrasound
Prostatitis,Renal/Urological,Biopsy: culture and histology
Prostatitis,Renal/Urological,Urethrocystoscopy (chronic prostatitis only)
Pruritus,Dermatological,As suggested by meticulous history and physical examination
Psoriasis,Dermatological,Histopathology
Pulmonary Oedema,Respiratory,Chest radiograph
Pulmonary Oedema,Respiratory,Electrocardiography
Pulmonary Oedema,Respiratory,Echocardiography
Pulmonary Oedema,Respiratory,Blood gases
Pulmonary Oedema,Respiratory,"Urea, Electrolytes and Creatinine"
Pulmonary Oedema,Respiratory,D-Dimer
Pulmonary Tuberculosis,Infectious/Tropical,"Bacteriologic examination: Sputum AFB X 3 (spot, morning, spot)"
Pulmonary Tuberculosis,Infectious/Tropical,Sputum mycobacterial culture and drug susceptibility testing/Gene Xpert MTB-RIF Assay
Pulmonary Tuberculosis,Infectious/Tropical,Radiologic Examination: Chest X-ray
Pulmonary Tuberculosis,Infectious/Tropical,Tuberculin skin test (low sensitivity and low specificity)
Pulmonary Tuberculosis,Infectious/Tropical,Haematologic - FBC and ESR
Pulmonary Tuberculosis,Infectious/Tropical,High Resolution CT
Pulmonary Tuberculosis,Infectious/Tropical,Fibre-optic bronchoscopy with bronchoalveolar lavage and trans-bronchial biopsy
Pulpitis,Dental/Oral Health,Electric pulp tester
Pulpitis,Dental/Oral Health,Cold or hot water bath
Pulpitis,Dental/Oral Health,Ethyl chloride spray
Pulpitis,Dental/Oral Health,Hot gutta percha sticks
Pulpitis,Dental/Oral Health,Ice sticks
Rabies,Infectious/Tropical,Full Blood Count and differentials
Rabies,Infectious/Tropical,Urea and Electrolytes
Rabies,Infectious/Tropical,Culture of secretions
Rabies,Infectious/Tropical,Cerebro Spinal Fluid (CSF) analysis
Rabies,Infectious/Tropical,Serology
Rabies,Infectious/Tropical,Pulmonary Chain Reaction (PCR)
Rabies,Infectious/Tropical,Direct rapid immunohistochemistry tests
Rabies,Infectious/Tropical,Enzyme-linked immunosorbent assays
Rape,Maternal/Reproductive,"Vaginal/perineal swab for microscopy, culture and sensitivity"
Rape,Maternal/Reproductive,Semen: DNA analysis
Rape,Maternal/Reproductive,"Urinalysis; urine microscopy, culture and sensitivity"
Rape,Maternal/Reproductive,Pregnancy test (blood)
Rape,Maternal/Reproductive,HIV screening
Rape,Maternal/Reproductive,Hepatitis screening
Rheumatic Heart Disease,Cardiovascular,Chest radiograph
Rheumatic Heart Disease,Cardiovascular,Electrocardiography
Rheumatic Heart Disease,Cardiovascular,Echocardiography
Rheumatic Heart Disease,Cardiovascular,Coronary angiography
Rheumatic Heart Disease,Cardiovascular,"Electrolyte, Urea and Creatinine"
Renal Cell Carcinoma,Renal/Urological,FBC
Renal Cell Carcinoma,Renal/Urological,"Electrolyte, Urea and Creatinine"
Renal Cell Carcinoma,Renal/Urological,Liver function test
Renal Cell Carcinoma,Renal/Urological,Clotting profiles
Renal Cell Carcinoma,Renal/Urological,Urine M/C/S
Renal Cell Carcinoma,Renal/Urological,Abdominal ultrasound
Renal Cell Carcinoma,Renal/Urological,Abdominal CT scan – useful to establish stage of disease.
Renal Cell Carcinoma,Renal/Urological,Magnetic resonance imaging (MRI)
Renal Cell Carcinoma,Renal/Urological,Intravenous pyelography (IVP)
Rheumatic Fever,Cardiovascular,FBC and differentials
Rheumatic Fever,Cardiovascular,ASO titre
Rheumatic Fever,Cardiovascular,ESR
Rheumatic Fever,Cardiovascular,Electrocardiograph
Rheumatic Fever,Cardiovascular,Echocardiography
Rheumatic Fever,Cardiovascular,Chest radiograph
Rheumatic Fever,Cardiovascular,"Throat swab for microscopy, culture and sensitivity"
Rheumatoid Arthritis,Musculoskeletal,Haematocrit
Rheumatoid Arthritis,Musculoskeletal,White blood cell count
Rheumatoid Arthritis,Musculoskeletal,ESR
Rheumatoid Arthritis,Musculoskeletal,CRP
Rheumatoid Arthritis,Musculoskeletal,Liver function tests (as most of drugs used could be hepatotoxic)
Rheumatoid Arthritis,Musculoskeletal,Cholesterol
Rheumatoid Arthritis,Musculoskeletal,Triglycerides
Rheumatoid Arthritis,Musculoskeletal,Rheumatoid factors-this is diagnostic as well as Anti CCP
Rheumatoid Arthritis,Musculoskeletal,Anti-Cyclic citrullinated peptide
Rheumatoid Arthritis,Musculoskeletal,Plain radiographs especially of the hands and feet to demonstrate erosions
Rheumatoid Arthritis,Musculoskeletal,Ultrasound of the joints to demonstrate synovitis and erosions
Rheumatoid Arthritis,Musculoskeletal,CT scan
Rheumatoid Arthritis,Musculoskeletal,MRI
Rheumatoid Arthritis,Musculoskeletal,Radioisotope
Scabies,Dermatological,Burrow scraping on to a glass slide for microscopy
Scabies,Dermatological,Video dermatoscopy
Schizophrenia,Neurological/Mental,To exclude organic causes of acute psychotic presentations
Scleritis/Episcleritis,Ophthalmology,Investigate for collagen diseases
Scleroderma (Systemic Sclerosis),Musculoskeletal,"FBC, haematocrit"
Scleroderma (Systemic Sclerosis),Musculoskeletal,"ESR, CRP"
Scleroderma (Systemic Sclerosis),Musculoskeletal,"Digital chest X-ray, HRCT scan with suspicion of ILD"
Scleroderma (Systemic Sclerosis),Musculoskeletal,"ECG, ECHO with suspicion of pulmonary hypertension"
Scleroderma (Systemic Sclerosis),Musculoskeletal,Serology – Anti-Nuclear Antibody (ANA)
Scleroderma (Systemic Sclerosis),Musculoskeletal,Anti-topoisomerase 1 (anti-Scl 70) specific for diffuse sclerosis
Scleroderma (Systemic Sclerosis),Musculoskeletal,Anti-centromere (specific for Limited scleroderma)
Scleroderma (Systemic Sclerosis),Musculoskeletal,"Others Anti-RNA polymerase I, II, and III, anti-U1 RNP (found in mixed connective tissue)"
Scorpion Sting,Surgical/Emergency,"There is no specific diagnostic Investigations, and in most cases, no investigation is required"
Scorpion Sting,Surgical/Emergency,"Investigations, when required, should be tailored towards the complications that may occur"
Scorpion Sting,Surgical/Emergency,"There is no specific diagnostic Investigations, and in most cases, no investigation is required"
Scorpion Sting,Surgical/Emergency,"Investigations, when required, should be tailored towards the complications that may occur"
Seizures/Epilepsies,Neurological/Mental,Electroencephalography
Seizures/Epilepsies,Neurological/Mental,Neuro-imaging (CT scan or MRI)
Seizures/Epilepsies,Neurological/Mental,Random blood glucose
Seizures/Epilepsies,Neurological/Mental,"Urea, Electrolytes and Creatinine"
Septic Arthritis,Musculoskeletal,"Haematocrit, white blood cell count and differentials"
Septic Arthritis,Musculoskeletal,"Joint aspirate – microscopy, culture and sensitivity"
Septic Arthritis,Musculoskeletal,Blood culture
Septic Arthritis,Musculoskeletal,"ESR, CRP"
Septic Arthritis,Musculoskeletal,X-ray of affected joints
Septic Arthritis,Musculoskeletal,"CT, MRI"
Sialadenitis,Dental/Oral Health,Based on history and clinical findings
Sialadenitis,Dental/Oral Health,Virological evaluations may be employed
Sickle Cell Disease,Haematological,"FBC and ESR; Red cell indices (MCH, MCHC, MCV), Reticulocyte count"
Sickle Cell Disease,Haematological,Sickling tests: solubility test; metabisulphite test
Sickle Cell Disease,Haematological,Haemoglobin electrophoresis (using cellulose acetate paper at pH 8.4 or citrate agar gel at pH 5.6)
Sickle Cell Disease,Haematological,"Serum Electrolytes, Urea and Creatinine"
Sickle Cell Disease,Haematological,"Liver function tests (transaminases, bilirubin, serum albumin, alkaline phosphatase and prothrombin time)"
Sickle Cell Disease,Haematological,"Urinalysis; microscopy, culture and sensitivity"
Sickle Cell Disease,Haematological,"Sputum: Acid Fast Bacilli, Microscopy, culture and sensitivity"
Sickle Cell Disease,Haematological,"Stool: Ova and parasites, Occult blood"
Sickle Cell Disease,Haematological,Abdominal ultrasound scan
Sickle Cell Disease,Haematological,Transcranial Doppler ultrasonography
Sickle Cell Disease,Haematological,Chest radiograph
Sickle Cell Disease,Haematological,FBC and ESR
Sickle Cell Disease,Haematological,"Total leukocyte count, differential leukocyte count (Neutrophils including bands, lymphocytes, monocytes, basophils, eosinophils)"
Sickle Cell Disease,Haematological,"Red blood cell indices (MCV, MCHC, MCH)"
Sickle Cell Disease,Haematological,"Blood film may show sickled and other abnormally shaped red cells, malaria parasites"
Sickle Cell Disease,Haematological,Reticulocyte count
Sickle Cell Disease,Haematological,Sickling test using 2% sodium metabisulphite as a deoxygenating agent
Sickle Cell Disease,Haematological,Solubility test using sodium dithionate as buffer
Sickle Cell Disease,Haematological,Haemoglobin electrophoresis using cellulose acetate paper at pH 8.4 (alkaline) or citrate agar gel at pH 5.6 (acidic). This detects the variant haemoglobin bands
Sickle Cell Disease,Haematological,High performance liquid chromatography (HPLC) for Haemoglobin quantitation
Sickle Cell Disease,Haematological,"Serum electrolytes, urea and creatinine"
Sickle Cell Disease,Haematological,"Liver function test: serum bilirubin-total and conjugated, transaminases, alkaline phosphatase, serum albumin prothrombin time"
Sickle Cell Disease,Haematological,"Urinalysis, microscopy, culture and sensitivity"
Sickle Cell Disease,Haematological,"Stool microscopy for ova and parasites, occult blood"
Sickle Cell Disease,Haematological,"Sputum M/C/S, acid fast bacilli"
Sickle Cell Disease,Haematological,"Chest X-Ray. Ultrasound scan, Abdominal ultrasound"
Sickle Cell Disease,Haematological,Trans cranial Doppler ultrasound (TCD)- detects those at increased risk of cerebrovascular accident (CVA)
Sickle Cell Disease,Haematological,Magnetic Resonance Imaging (MRI)- detects brain micro infarcts
Sickle Cell Disease,Haematological,"Organ dysfunction screen: Kidney: urinalysis, 24-hour urine protein quantitation, renal ultrasound, measurement of GFR, screen for micro albuminuria"
Sickle Cell Disease,Haematological,Echocardiography detects pulmonary hypertension
Sickle Cell Disease,Haematological,Pulse oximetry
Sickle Cell Disease,Haematological,FBC and ESR
Sickle Cell Disease,Haematological,Total leukocyte count
Sickle Cell Disease,Haematological,"Differential leukocyte count (Neutrophils including bands, lymphocytes, monocytes, basophils, eosinophils)"
Sickle Cell Disease,Haematological,"Red blood cell indices (MCV, MCHC, MCH)"
Sickle Cell Disease,Haematological,"Blood film may show sickled and other abnormally shaped red cells, malaria parasites"
Sickle Cell Disease,Haematological,Reticulocyte count
Sickle Cell Disease,Haematological,Sickling test using 2% sodium metabisulphite as a deoxygenating agent
Sickle Cell Disease,Haematological,Solubility test using sodium dithionate as buffer
Sickle Cell Disease,Haematological,Haemoglobin electrophoresis using cellulose acetate paper at pH 8.4 (alkaline) or citrate agar gel at pH 5.6 (acidic)
Sickle Cell Disease,Haematological,High performance liquid chromatography (HPLC) for Haemoglobin quantitation
Sickle Cell Disease,Haematological,"Serum electrolytes, urea and creatinine"
Sickle Cell Disease,Haematological,"Liver function test: serum bilirubin-total and conjugated, transaminases, alkaline phosphatase, serum albumin, prothrombin time"
Sickle Cell Disease,Haematological,"Urinalysis, microscopy, culture and sensitivity"
Sickle Cell Disease,Haematological,"Stool microscopy for ova and parasites, occult blood"
Sickle Cell Disease,Haematological,"Sputum M/C/S, acid fast bacilli"
Sickle Cell Disease,Haematological,Chest X-Ray
Sickle Cell Disease,Haematological,"Ultrasound scan, Abdominal ultrasound"
Sickle Cell Disease,Haematological,Trans cranial Doppler ultrasound (TCD)- detects those at increased risk of cerebrovascular accident (CVA)
Sickle Cell Disease,Haematological,Magnetic Resonance Imaging (MRI)- detects brain micro infarcts
Sickle Cell Disease,Haematological,"Organ dysfunction screen: Kidney: urinalysis, 24-hour urine protein quantitation, renal ultrasound, measurement of GFR, screen for micro albuminuria"
Sickle Cell Disease,Haematological,Echocardiography detects pulmonary hypertension
Sickle Cell Disease,Haematological,Pulse oximetry
Sinusitis,"ENT (Ear, Nose & Throat)","Nasal swab for microscopy, culture and sensitivity"
Sinusitis,"ENT (Ear, Nose & Throat)",X-ray of sinuses: four-view
Sinusitis,"ENT (Ear, Nose & Throat)",Antrum roof puncture/lavage: specimen for culture
Sinusitis,"ENT (Ear, Nose & Throat)",CT scan in complicated cases
Sinusitis,"ENT (Ear, Nose & Throat)",MRI
Snake Bite,Surgical/Emergency,FBC and differentials
Snake Bite,Surgical/Emergency,Test for haemostasis (20 Minute Whole Blood Clotting Test)
Snake Bite,Surgical/Emergency,Electrolytes and Urea
Snake Bite,Surgical/Emergency,Blood clotting profile
Snake Bite,Surgical/Emergency,Arterial blood gas estimation
Snake Bite,Surgical/Emergency,Chest radiograph
Snake Bite,Surgical/Emergency,Wound and blood cultures
Snake Bite,Surgical/Emergency,FBC and differentials
Snake Bite,Surgical/Emergency,Test for haemostasis (20 Minute Whole Blood Clotting Test)
Snake Bite,Surgical/Emergency,Electrolytes and Urea
Snake Bite,Surgical/Emergency,Blood clotting profile
Snake Bite,Surgical/Emergency,Arterial blood gas estimation
Snake Bite,Surgical/Emergency,Chest radiograph
Snake Bite,Surgical/Emergency,Wound and blood cultures
Soft Tissue Sarcoma,Oncology,Trucut/incisional/excision biopsy + histopathology
Soft Tissue Sarcoma,Oncology,Chest X-ray
Soft Tissue Sarcoma,Oncology,MRI
Soft Tissue Sarcoma,Oncology,CT
Soft Tissue Sarcoma,Oncology,FBC
Soft Tissue Sarcoma,Oncology,LFT and Serum proteins
Soft Tissue Sarcoma,Oncology,"Electrolyte, Urea and Creatinine"
"Stroke (Brain Attack, Cerebrovascular Disease, Apoplexy)",Neurological/Mental,Neuro-imaging with CT scan/MRI to determine stroke type and choice of management
"Stroke (Brain Attack, Cerebrovascular Disease, Apoplexy)",Neurological/Mental,Lumbar puncture for CSF analysis in suspected subarachnoid haemorrhage
"Stroke (Brain Attack, Cerebrovascular Disease, Apoplexy)",Neurological/Mental,"Electrocardiography, echocardiography, carotid Doppler ultrasound study, cerebral angiography"
"Stroke (Brain Attack, Cerebrovascular Disease, Apoplexy)",Neurological/Mental,"Full Blood Count with differentials, random blood glucose, urea, electrolytes and creatinine"
"Stroke (Brain Attack, Cerebrovascular Disease, Apoplexy)",Neurological/Mental,"Chest radiograph, HIV screening"
Stye (Hordeolum),Ophthalmology,"If recurrent, screen for diabetes"
Surgical Care,Surgical/Emergency,"Chest radiograph: especially for patients 60 years and above, and those with chest infection gives evidence of chest infection and cardiomegaly"
Surgical Care,Surgical/Emergency,ECG: for patients over 60 years and those with heart disease or hypertension
Surgical Care,Surgical/Emergency,Pulmonary function tests may be necessary in patients with obstructive airways disease
Surgical Care,Surgical/Emergency,"Urine sugar to exclude diabetes mellitus in patients with history of polyuria, polydipsia and polyphagia"
Surgical Care,Surgical/Emergency,Serum electrolytes and urea
Surgical Care,Surgical/Emergency,Haemogram and complete blood count in all patients
Surgical Care,Surgical/Emergency,Haemoglobin genotype in patients with suspected haemoglobinopathies
Surgical Care,Surgical/Emergency,"Clotting profile (PT, KCCT) where there is suspicion of bleeding diathesis e.g., in jaundiced patients"
Surgical Care,Surgical/Emergency,Other investigations as may be indicated by individual clinical circumstances
Syncope (Fainting),Cardiovascular,Electrocardiography
Syncope (Fainting),Cardiovascular,Echocardiography
Syncope (Fainting),Cardiovascular,"Neuro-imaging: CT scan, MRI, carotid Doppler"
Syncope (Fainting),Cardiovascular,Random blood sugar
Syphilis,Infectious/Tropical,Dark field examination
Syphilis,Infectious/Tropical,Direct fluorescent antibody tests of lesion exudates or tissue
Syphilis,Infectious/Tropical,VDRL and RPR
Systemic Lupus Erythematosus,Musculoskeletal,"Haematocrit, white blood cell count, platelet count"
Systemic Lupus Erythematosus,Musculoskeletal,"ESR, CRP . ESR markedly high while CRP is normal or marginally raised. Markedly elevated ESR may be suggestive of SLE if other conditions causing this have been eliminated. This is in lieu of serologies especially in patients who cannot afford the latter."
Systemic Lupus Erythematosus,Musculoskeletal,"Urine analysis and microscopy – for casts, RBCs, protein"
Systemic Lupus Erythematosus,Musculoskeletal,Electrolytes and urea
Systemic Lupus Erythematosus,Musculoskeletal,"Chest X-ray, ECG"
Systemic Lupus Erythematosus,Musculoskeletal,Serology – Anti–nuclear Antibody (ANA); Extractable Nuclear Antigen (ENA); Double stranded DNA
Systemic Lupus Erythematosus,Musculoskeletal,Kidney Biopsy – as indicated
Tetanus,Infectious/Tropical,"Wound swab for microscopy, culture, and sensitivity"
Tetanus,Infectious/Tropical,"Cerebrospinal fluid for biochemistry; microscopy, culture, and sensitivity"
Tetanus,Infectious/Tropical,Full Blood Count; ESR
Tetanus,Infectious/Tropical,"Urinalysis; urine microscopy, culture, and sensitivity"
Tetanus,Infectious/Tropical,Blood glucose
Tetanus,Infectious/Tropical,Electrocardiography
Tetanus,Infectious/Tropical,"Serum Electrolytes, Urea and Creatinine"
Tetanus,Infectious/Tropical,Electromyography
The Empty Scrotum,Renal/Urological,"Urinary 17-ketosteroids, gonadotropins"
The Empty Scrotum,Renal/Urological,Serum testosterone
The Empty Scrotum,Renal/Urological,Ultrasonography
The Empty Scrotum,Renal/Urological,Computed tomography
The Empty Scrotum,Renal/Urological,Laparoscopy
The Empty Scrotum,Renal/Urological,Magnetic Resonance Imaging
The Paralyzed Patient,Neurological/Mental,"Imaging: Plain X-ray of the skull and back; Magnetic resonance imaging (brain, spines); Chest X-ray"
The Paralyzed Patient,Neurological/Mental,"Cerebrospinal fluid examination for protein, cells, cytology, oligoclonal bands"
The Paralyzed Patient,Neurological/Mental,Muscle biopsy
The Paralyzed Patient,Neurological/Mental,Edrophonium test for myasthenia gravis; Protein Specific Antigen for prostatic cancer
The Paralyzed Patient,Neurological/Mental,Electrolyte and urea for suspected periodic paralysis
The Paralyzed Patient,Neurological/Mental,"Electromyography and nerve conduction studies for suspected GBS, MG and periodic paralysis"
The Paralyzed Patient,Neurological/Mental,"Other tests are pulse oximetry; erythrocyte sedimentation rate, full blood count and plasma glucose"
The Unconscious Patient,Neurological/Mental,"Neuro-imaging: CT scan, MRI"
The Unconscious Patient,Neurological/Mental,Random blood glucose
The Unconscious Patient,Neurological/Mental,"Urea, Electrolytes and Creatinine"
The Unconscious Patient,Neurological/Mental,Electroencephalography
The Unconscious Patient,Neurological/Mental,Cerebrospinal fluid analysis
The Unconscious Patient,Neurological/Mental,Drug levels/toxicology screen
The Unconscious Patient,Neurological/Mental,Full Blood Count
The Unconscious Patient,Neurological/Mental,Blood culture
Thyrotoxicosis,Endocrine/Metabolic,"Thyroid Function Test with free T4 and T3 (both high, TSH suppressed)"
Thyrotoxicosis,Endocrine/Metabolic,"Thyroid antibodies: Thyroid Peroxidase Antibodies, Thyroglobulin antibody, TSH Receptor antibodies"
Thyrotoxicosis,Endocrine/Metabolic,Radio-labelled thyroid scan with iodine 123
Thyrotoxicosis,Endocrine/Metabolic,FBC and ESR
Thyrotoxicosis,Endocrine/Metabolic,"Electrolyte, Urea and Creatinine"
Thyrotoxicosis,Endocrine/Metabolic,Fasting blood sugar
Thyrotoxicosis,Endocrine/Metabolic,ECG and Echocardiography
Tonsillitis,"ENT (Ear, Nose & Throat)","Throat swab for microscopy, culture and sensitivity"
Tonsillitis,"ENT (Ear, Nose & Throat)",Full Blood Count
Torsion of the Testis,Renal/Urological,Colour Doppler sonography: an absence of arterial flow is typical
Torsion of the Testis,Renal/Urological,Radionuclide scan using Tc-99m pertechnetate: the twisted testis is avascular
Trachoma,Ophthalmology,Conjunctival scraping for microscopy
Trachoma,Ophthalmology,Immunofluorescence or ELISA test
Trachoma,Ophthalmology,Giemsa staining for trachoma inclusion bodies
Apnea in a Child,Paediatric,Investigate underlying causes
Apnea in a Child,Paediatric,Apnea monitor should be used if available
Apnea in a Child,Paediatric,Pulse oximeter with an alarm system for hypoxaemia
Trichomoniasis,Infectious/Tropical,Microscopy and culture of vaginal discharge
Trypanosomiasis (Sleeping Sickness),Infectious/Tropical,Peripheral blood film for the detection of trypanosomes
Trypanosomiasis (Sleeping Sickness),Infectious/Tropical,Rapid Card Agglutination Trypanosomiasis Test (CATT) for antibody detection
Tumour Lysis Syndrome,Oncology,Full Blood Count
Tumour Lysis Syndrome,Oncology,"Serum electrolyte, urea and creatinine + Ca, PO, Serum Uric acid, Urine Uric acid (normal urinary excretory rate is 300-600 mg/day)"
Tumour Lysis Syndrome,Oncology,LFT
Tumour Lysis Syndrome,Oncology,ECG
Tumour Lysis Syndrome,Oncology,Abdominal X-ray (for gouty nephropathy)
Typhoid Fever (Enteric Fever),Infectious/Tropical,"A positive culture is the 'gold standard' for the diagnosis of typhoid fever. Specimens for culture may be obtained from the blood, stool, urine, bone marrow; gastric and intestinal secretions."
Typhoid Fever (Enteric Fever),Infectious/Tropical,There are no diagnostic tests other than positive cultures.
Typhoid Fever (Enteric Fever),Infectious/Tropical,Full Blood Count
Typhoid Fever (Enteric Fever),Infectious/Tropical,"Leucopenia, neutropenia, leucocytosis can develop early, especially in children; late if complicated by intestinal perforation or secondary infection"
Typhoid Fever (Enteric Fever),Infectious/Tropical,Liver function tests: values may be elevated.
Typhoid Fever (Enteric Fever),Infectious/Tropical,Electrocardiography: ST and T wave abnormalities may be present.
Typhoid Fever (Enteric Fever),Infectious/Tropical,Serological tests
Typhoid Fever (Enteric Fever),Infectious/Tropical,Widal test gives high rates of false positives and negatives
Urethral Strictures,Renal/Urological,Urinalysis
Urethral Strictures,Renal/Urological,"Urine microscopy, culture and sensitivity"
Urethral Strictures,Renal/Urological,Urethroscopy
Urethral Strictures,Renal/Urological,Urethrogram
Urethral Strictures,Renal/Urological,Uroflowmetry
Urethral Strictures,Renal/Urological,Abdominal ultrasound
Urethral Strictures,Renal/Urological,"Serum Urea, Electrolytes and Creatinine"
Urethral Strictures,Renal/Urological,Full Blood Count
Urinary Schistosomiasis,Infectious/Tropical,Urine examination for schistosomal ova
Urinary Schistosomiasis,Infectious/Tropical,"Cystoscopy: tubercles, sandy patches, nodules, ulcers"
Urinary Schistosomiasis,Infectious/Tropical,Plain abdominal radiograph (KUB)
Urinary Schistosomiasis,Infectious/Tropical,Intravenous urogram
Urinary Schistosomiasis,Infectious/Tropical,Serological tests
Urinary Schistosomiasis,Infectious/Tropical,Full Blood Count
Urinary Tract Calculi,Renal/Urological,Urinalysis
Urinary Tract Calculi,Renal/Urological,Urine culture
Urinary Tract Calculi,Renal/Urological,"Serum calcium, phosphate and albumin"
Urinary Tract Calculi,Renal/Urological,Intravenous urography (IVU)
Urinary Tract Calculi,Renal/Urological,Ultrasonography
Urinary Tract Calculi,Renal/Urological,Computerized tomography (non-contrast enhanced)
Urticaria and Angioedema,Dermatological,Suggested by meticulous history and physical examination
Varicella (Chickenpox),Infectious/Tropical,Tzanck smear
Varicella (Chickenpox),Infectious/Tropical,Direct fluorescent antibody (DFA) staining
Varicella (Chickenpox),Infectious/Tropical,Polymerase Chain Reaction (PCR)
