condition_name,category,complication
Typhoid Fever (Enteric Fever),Infectious/Tropical,Osteomyelitis
Typhoid Fever (Enteric Fever),Infectious/Tropical,Chronic carrier state
Urethral Strictures,Renal/Urological,Urinary tract infections
Urethral Strictures,Renal/Urological,Urethral/bladder calculi
Urethral Strictures,Renal/Urological,Urinary retention
Urethral Strictures,Renal/Urological,Fournier's gangrene
Urethral Strictures,Renal/Urological,Perineal urinary fistulae
Urethral Strictures,Renal/Urological,Progressive renal failure
Urinary Schistosomiasis,Infectious/Tropical,Bladder fibrosis and contracture
Urinary Schistosomiasis,Infectious/Tropical,Ureteral stricture
Urinary Schistosomiasis,Infectious/Tropical,Urethral stricture
Urinary Schistosomiasis,Infectious/Tropical,Bladder calculi
Urinary Schistosomiasis,Infectious/Tropical,Bladder cancer
Urinary Tract Calculi,Renal/Urological,Recurrent and intractable urinary tract infection
Urinary Tract Calculi,Renal/Urological,Secondary hydronephrosis
Urinary Tract Calculi,Renal/Urological,Progressive renal failure
Urinary Tract Calculi,Renal/Urological,Periurethral abscess/urethral fistula
Urticaria and Angioedema,Dermatological,Emotional distress in chronic cases
Urticaria and Angioedema,Dermatological,Fatality
Varicella (Chickenpox),Infectious/Tropical,Secondary bacterial infection
Varicella (Chickenpox),Infectious/Tropical,Pneumonia
Varicella (Chickenpox),Infectious/Tropical,Cerebellar ataxia and encephalitis
Varicella (Chickenpox),Infectious/Tropical,Reye's syndrome
Vertigo,"ENT (Ear, Nose & Throat)",Poor quality of life
Vertigo,"ENT (Ear, Nose & Throat)",Suicidal tendencies
Viral Warts (Verrucae),Infectious/Tropical,Squamous cell carcinoma of the perianal skin
Viral Warts (Verrucae),Infectious/Tropical,Cervical carcinoma from anogenital warts
Viral Warts (Verrucae),Infectious/Tropical,Obstructive laryngeal papillomatosis in babies infected through maternal birth canal
Vitamin A Deficiency,Nutritional,Blindness
Vitamin A Deficiency,Nutritional,Corneal ulceration
Vitamin A Deficiency,Nutritional,Blindness
Vitamin A Deficiency,Nutritional,Corneal ulceration
Vitiligo,Dermatological,Emotional problems due to cosmetic disfigurement
Vulvo-Vaginal Candidiasis,Maternal/Reproductive,"Emotional problems because of the recurrent nature of the infection, and dyspareunia"
Vulvo-Vaginal Candidiasis,Maternal/Reproductive,"Very serious emotional problems in a non-sexually active person wrongly ""accused"" by parents, spouse or health care providers"
Wax in the Ear,"ENT (Ear, Nose & Throat)",Superimposed infection: otitis externa
Wax in the Ear,"ENT (Ear, Nose & Throat)",Hearing impairment
Xerophthalmia,Nutritional,Corneal perforation
Xerophthalmia,Nutritional,Corneal scarring
Xerophthalmia,Nutritional,Blindness
